account_name,taxonomy_account_name,account_code,parent_account_code,values
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,100100,109999,"['266,716', '266,716']"
เบี้ยประกันภัยค้างรับ,เบี้ยประกันภัยค้างรับ,101200,109999,"['367,614', '367,614']"
รายได้จากการลงทุนค้างรับ,รายได้จากการลงทุนค้างรับ,101300,109999,"['1,323', '1,323']"
สินทรัพย์จากการประกันภัยต่อ,สินทรัพย์จากการประกันภัยต่อ,101400,109999,"['447,974', '447,974']"
ลูกหนี้จากสัญญาประกันภัยต่อ,ลูกหนี้จากสัญญาประกันภัยต่อ,101500,109999,"['1,474', '1,474']"
เงินลงทุนในหลักทรัพย์,เงินลงทุนในหลักทรัพย์,101910,101900,"['704,432', '704,432']"
อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน,103700,101900,"['60,537', '60,537']"
เงินลงทุนในบริษัทร่วม,เงินลงทุนในบริษัทร่วม,102720,102700,"['42,928', '46,816']"
ที่ดินอาคารและอุปกรณ์,ที่ดินอาคารและอุปกรณ์,103800,109999,"['303,065', '303,065']"
สินทรัพย์ไม่มีตัวตน,สินทรัพย์ไม่มีตัวตน,104100,109999,"['3,431', '3,431']"
สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,109999,"['4,280', '4,280']"
สินทรัพย์อื่น,สินทรัพย์อื่น,109900,109999,"['12,923', '12,923']"
รวมสินทรัพย์,รวมสินทรัพย์,109999,,"['2,216,697', '2,220,585']"
หนี้สินจากสัญญาประกันภัย,หนี้สินจากสัญญาประกันภัย,201200,209999,"['1,053,084', '1,053,084']"
เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้บริษัทประกันภัยต่อ,201400,209999,"['182,852', '182,852']"
ภาระผูกพันผลประโยชน์พนักงาน,ภาระผูกพันผลประโยชน์พนักงาน,202700,209999,"['17,263', '17,263']"
ค่านายหน้าค้างจ่าย,ค่านายหน้าค้างจ่าย,201600,209999,"['46,984', '46,984']"
หนี้สินตามสัญญาเช่า,หนี้สินตามสัญญาเช่า,202400,209999,"['53,670', '53,670']"
ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,202500,209999,"['64,991', '64,991']"
ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,203000,209999,"['10,668', '10,668']"
หนี้สินอื่น,หนี้สินอื่น,209900,209999,"['32,294', '32,294']"
รวมหนี้สิน,รวมหนี้สิน,209999,309999,"['1,461,806', '1,461,806']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310120,310100,"['300,000', '300,000']"
หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,หุ้นสามัญ{{number}}หุ้นมูลค่าหุ้นละ{{number}}บาท,310220,310200,"['299,998', '299,998']"
ส่วนเกินมูลค่าหุ้นสามัญ,ส่วนเกินมูลค่าหุ้นสามัญ,310420,310400,"['86,593', '86,593']"
ทุนสำรองตามกฎหมาย,ทุนสำรองตามกฎหมาย,310611,310610,"['25,541', '25,541']"
ยังไม่ได้จัดสรร,ยังไม่ได้จัดสรร,310620,310600,"['108,363', '113,851']"
องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319990,319900,"['234,396', '232,796']"
รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,309999,"['754,891', '758,779']"
รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,309999,,"['2,216,697', '2,220,585']"
เบี้ยประกันภัยรับ,เบี้ยประกันภัยรับ,410126,400299,"['524,112', '524,112']"
หักเบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ,หัก เบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ,420200,400299,"['(154,262)', '(154,262)']"
เบี้ยประกันภัยรับสุทธิ,,,,"['369,850', '369,850']"
หักสำรองเบี้ยประกันภัยที่ยังไม่ถือเป็นรายได้เพิ่มจากงวดก่อน,หัก สำรองเบี้ยประกันภัยที่ยังไม่ถือเป็นรายได้เพิ่ม (ลด) จากงวดก่อน,420300,400399,"['(103,363)', '(103,363)']"
เบี้ยประกันภัยที่ถือเป็นรายได้สุทธิจากการประกันภัยต่อ,,,,"['266,487', '266,487']"
รายได้ค่าจ้างและค่าบำเหน็จ,รายได้ค่าจ้างและค่าบำเหน็จ,410127,419999,"['16,372', '16,372']"
รายได้จากการลงทุนสุทธิ,รายได้จากการลงทุนสุทธิ,410128,419999,"['8,415', '8,415']"
รายได้อื่น,รายได้อื่น,410200,419999,"['37', '37']"
